"bug_id","horn_color","plant_id","plot_id","date_died","treat_para","treat_heat","date_coll","coll_loc","date_hatch","date_3","mass_3","date_ovp","time_ovp","num_ovp","date_in_field","time_in_field","date_out_field","sp","date_4","date_5","date_6","date_wand","mass_wand","date_em","em_field","em_lab","mass_48em","num_coc","num_fail_spin","num_em","date_ecl","num_ecl","fem_ecl","male_ecl","fem_mass","male_mass","num_unem","load","date_cen1","pres_cen1","stage_cen1","loc_cen1","time_cen1","date_cen2","pres_cen2","stage_cen2","loc_cen2","time_cen2","date_cen3","pres_cen3","stage_cen3","loc_cen3","time_cen3","date_cen4","pres_cen4","stage_cen4","loc_cen4","time_cen4","date_cen5","pres_cen5","stage_cen5","loc_cen5","time_cen5","date_cen6","pres_cen6","stage_cen6","loc_cen6","time_cen6","date_cen7","pres_cen7","stage_cen7","loc_cen7","time_cen7","date_cen8","pres_cen8","stage_cen8","loc_cen8","time_cen8","date_cen9","pres_cen9","stage_cen9","loc_cen9","time_cen9","date_cen10","pres_cen10","stage_cen10","loc_cen10","time_cen10","date_cen11","pres_cen11","stage_cen11","loc_cen11","time_cen11","date_cen12","pres_cen12","stage_cen12","loc_cen12","time_cen12","date_cen13","pres_cen13","stage_cen13","loc_cen13","time_cen13","date_cen14","pres_cen14","stage_cen14","loc_cen14","time_cen14","date_cen15","pres_cen15","stage_cen15","loc_cen15","time_cen15","date_cen16","pres_cen16","stage_cen16","loc_cen16","time_cen16","died_em","notes","X122","date_died.j","date_coll.j","date_hatch.j","date_3.j","date_ovp.j","date_in_field.j","date_out_field.j","date_4.j","date_5.j","date_6.j","date_wand.j","date_em.j","date_ecl.j","date_cen1.j","date_cen2.j","date_cen3.j","date_cen4.j","date_cen5.j","date_cen6.j","date_cen7.j","date_cen8.j","date_cen9.j","date_cen10.j","date_cen11.j","date_cen12.j","date_cen13.j","date_cen14.j","date_cen15.j","date_cen16.j","time_ovp.dec","time_in_field.dec","time_cen1.dec","time_cen2.dec","time_cen3.dec","time_cen4.dec","time_cen5.dec","time_cen6.dec","time_cen7.dec","time_cen8.dec","time_cen9.dec","time_cen10.dec","time_cen11.dec","time_cen12.dec","time_cen13.dec","time_cen14.dec","time_cen15.dec","time_cen16.dec","tt3","ttw","ttem_h","ttem_w","days_spnt_f","ttw_inlab","ttem_inlab","ps_ld_em","ps_ld_ecl","ps_em_ecl","pfem","pmale","ind_fem_mass","ind_male_mass","died"
"B6_2_p_con","red","B6","plot1",NA,"p","con","7/10/19","rm","7/11/19","7/16/19",43.98,"7/16/19",13:19:00,1,"7/17/19","am",NA,NA,"7/19/19","7/22/19",NA,NA,NA,"7/28/19",1,0,"1561.96",26,3,29,"8/5/19",5,NA,NA,NA,NA,NA,29,"7/18/19",1,3,"h_up_sh",11:04:00,"7/19/19",1,4,"h_up_su",09:14:00,"7/20/19",1,4,"h_un_sh",17:10:00,"7/21/19",1,4,"m_un_sh",11:14:00,"7/22/19",1,5,"u_un_sh","14:54","7/23/19",1,5,"h_un_sh",10:00:00,"7/24/19",1,5,"h_un_sh",14:21:00,"7/25/19","1",5,"h_un_sh",15:32:00,"7/26/19",1,5,"h_un_su",15:40:00,"7/27/19",1,5,"h_un_su",10:23:00,"7/28/19",1,"em","h_up_su",14:08:00,"7/29/19",1,"em","cup",09:20:00,"7/30/19",1,"rc",NA,14:10:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"horn damaged at molt to 3rd. 5 cocoons empty, only found 4 wasps in cup. Mass: 0.76",NA,0,191,192,197,197,198,NA,200,203,NA,NA,209,217,199,200,201,202,203,204,205,206,207,208,209,210,211,NA,NA,NA,13.3166666666667,NA,11.0666666666667,9.23333333333333,17.1666666666667,11.2333333333333,14.9,10,14.35,15.5333333333333,15.6666666666667,10.3833333333333,14.1333333333333,9.33333333333333,14.1666666666667,NA,NA,NA,5,NA,17,12,NA,NA,NA,1,0.172413793103448,0.172413793103448,NA,NA,NA,NA,0
"D8_2_p_hs","white","D8","plot1",NA,"p","hs","7/10/19","rm","7/11/19","7/16/19",34.44,"7/16/19",13:58:00,1,"7/17/19","am",NA,NA,"7/19/19","7/22/19",NA,NA,NA,"7/29/19",1,0,"3473.34",34,4,38,"8/5/19",33,NA,NA,NA,NA,NA,38,"7/18/19",1,3,"h_un_sh",11:07:00,"7/19/19",1,4,"h_un_su",09:17:00,"7/20/19",1,4,"h_ed_sh",15:00:00,"7/21/19",1,4,"l_ed_sh",11:43:00,"7/22/19",1,5,"m_un_sh","15:58","7/23/19",1,5,"m_un_sh",11:11:00,"7/24/19",1,5,"h_ed_su",14:44:00,"7/25/19","1",5,"h_un_sh",16:09:00,"7/26/19",1,5,"h_un_sh",15:05:00,"7/27/19",1,5,"h_ed_su",10:20:00,"7/28/19",1,"5","m_un_sh",15:00:00,"7/29/19",1,"em","m_un_sh",10:34:00,"7/30/19",1,"em",NA,14:16:00,"7/31/19",1,"rc",NA,08:24:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"34 cocoons, 33 open. found 4 male and 1 female wasps. Female mass: 0.2. Male mass: 0.52",NA,0,191,192,197,197,198,NA,200,203,NA,NA,210,217,199,200,201,202,203,204,205,206,207,208,209,210,211,212,NA,NA,13.9666666666667,NA,11.1166666666667,9.28333333333333,15,11.7166666666667,15.9666666666667,11.1833333333333,14.7333333333333,16.15,15.0833333333333,10.3333333333333,15,10.5666666666667,14.2666666666667,8.4,NA,NA,5,NA,18,13,NA,NA,NA,1,0.868421052631579,0.868421052631579,NA,NA,NA,NA,0
"E5_2_p_con","white","E5","plot1",NA,"p","con","7/10/19","rm","7/12/19","7/17/19",32.33,"7/17/19",13:47:00,2,"7/18/19","am","7/29/19","s","7/20/19","7/23/19",NA,NA,NA,"7/30/19",0,1,"4640.4",104,22,126,"8/4/19",98,17,81,4.53,24.32,NA,126,"7/19/19",1,3,"m_un_sh",09:33:00,"7/20/19",1,4,"m_un_sh",15:00:00,"7/21/19",1,4,"m_un_sh",10:59:00,"7/22/19",1,4,"m_un_sh",15:46:00,"7/23/19",1,5,"m_un_sh","10:42","7/24/19",1,5,"m_un_sh",15:02:00,"7/25/19",1,5,"m_un_sh",16:05:00,"7/26/19","1",5,"m_un_sh",14:54:00,"7/27/19",1,5,"m_un_sh",09:44:00,"7/28/19",1,5,"m_un_su",15:07:00,"7/29/19",1,"5","m_un_su",11:08:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,191,193,198,198,199,210,201,204,NA,NA,211,216,200,201,202,203,204,205,206,207,208,209,210,NA,NA,NA,NA,NA,13.7833333333333,NA,9.55,15,10.9833333333333,15.7666666666667,10.7,15.0333333333333,16.0833333333333,14.9,9.73333333333333,15.1166666666667,11.1333333333333,NA,NA,NA,NA,NA,5,NA,18,13,11,NA,1,1,0.777777777777778,0.777777777777778,0.173469387755102,0.826530612244898,0.266470588235294,0.300246913580247,0
"F8_1_np_hs","blue","F8","plot1",NA,"np","hs","7/10/19","rm","7/11/19","7/17/19",29.56,NA,NA,NA,"7/18/19","am","7/27/19","s","7/20/19","7/24/19",NA,NA,NA,"7/30/19",0,1,"3080.81",42,13,55,"8/4/19",36,13,23,3.07,4.11,NA,55,"7/19/19",1,3,"h_un_sh",09:34:00,"7/20/19",1,4,"h_un_sh",14:37:00,"7/21/19",1,4,"h_un_sh",10:00:00,"7/22/19",1,4,"h_up_su",14:39:00,"7/23/19",1,4,"h_up_sh","10:20","7/24/19",1,5,"h_un_sh",14:58:00,"7/25/19",1,5,"l_un_sh",15:11:00,"7/26/19","1",5,"m_un_sh",14:19:00,"7/27/19",1,5,"m_un_sh",09:22:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,191,192,198,NA,199,208,201,205,NA,NA,211,216,200,201,202,203,204,205,206,207,208,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.56666666666667,14.6166666666667,10,14.65,10.3333333333333,14.9666666666667,15.1833333333333,14.3166666666667,9.36666666666667,NA,NA,NA,NA,NA,NA,NA,6,NA,19,NA,9,NA,3,1,0.654545454545455,0.654545454545455,0.361111111111111,0.638888888888889,0.236153846153846,0.178695652173913,0
"C2_1_p_hs","blue","C2","plot1",NA,"p","hs","7/10/19","rm","7/11/19","7/17/19",29.97,"7/17/19",13:30:00,1,"7/18/19","am",NA,NA,"7/20/19","7/22/19",NA,NA,NA,"7/29/19",1,0,"1877.55",74,7,81,"8/4/19",71,20,51,5.06,10.29,NA,81,"7/19/19",1,3,"m_un_sh",09:28:00,"7/20/19",1,4,"m_un_sh",16:45:00,"7/21/19",1,4,"m_un_sh",12:22:00,"7/22/19",1,4,"l_ed_sh",16:00:00,"7/23/19",1,5,"m_ed_sh","10:46","7/24/19",1,4,"h_un_sh",14:38:00,"7/25/19",1,5,"h_un_sh",14:00:00,"7/26/19","1",5,"m_un_sh",15:17:00,"7/27/19",1,2,"m_un_su",10:02:00,"7/28/19",1,5,"h_un_sh",15:00:00,"7/29/19",1,"em","m_un_sh",10:19:00,NA,1,"em",NA,14:12:00,"7/31/19",1,"rc",NA,08:04:00,"7/31/19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"counted 74 cocoons, 71 open. Counted 71 wasps (20 females, 51 males)",NA,0,191,192,198,198,199,NA,201,203,NA,NA,210,216,200,201,202,203,204,205,206,207,208,209,210,NA,212,212,NA,NA,13.5,NA,9.46666666666667,16.75,12.3666666666667,16,10.7666666666667,14.6333333333333,14,15.2833333333333,10.0333333333333,15,10.3166666666667,14.2,8.06666666666667,NA,NA,NA,6,NA,18,12,NA,NA,NA,1,0.876543209876543,0.876543209876543,0.28169014084507,0.71830985915493,0.253,0.201764705882353,0
"A7_2_p_con","purple","A7","plot1",NA,"p","con","7/10/19","rm","7/11/19","7/17/19",37.79,"7/17/19",13:25:00,2,"7/18/19","am","7/29/19","s","7/20/19","7/22/19",NA,NA,NA,"7/30/19",0,1,"3839.03",10,17,27,"8/4/19",10,0,10,0,1.59,NA,27,"7/19/19",1,3,"m_ed_su",10:00:00,"7/20/19",1,4,"m_un_sh",17:18:00,"7/21/19",1,4,"h_un_sh",10:12:00,"7/22/19",1,5,"m_un_su",14:41:00,"7/23/19",1,5,"m_ed_sh","9:22","7/24/19",1,5,"h_un_sh",14:16:00,"7/25/19",1,5,"h_un_sh",15:27:00,"7/26/19","1",5,"m_un_sh",15:52:00,"7/27/19",1,5,"m_un_sh",10:34:00,"7/28/19",1,5,"m_un_sh",15:16:00,"7/29/19",1,"2","h_un_su",09:27:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,191,192,198,198,199,210,201,203,NA,NA,211,216,200,201,202,203,204,205,206,207,208,209,210,NA,NA,NA,NA,NA,13.4166666666667,NA,10,17.3,10.2,14.6833333333333,9.36666666666667,14.2666666666667,15.45,15.8666666666667,10.5666666666667,15.2666666666667,9.45,NA,NA,NA,NA,NA,6,NA,19,13,11,NA,1,1,0.37037037037037,0.37037037037037,0,1,NA,0.159,0
"E3_1_p_con","red","E3","plot1",NA,"p","con","7/10/19","rm","7/11/19","7/17/19",33.49,"7/17/19",13:27:00,1,"7/18/19","am",NA,NA,"7/20/19","7/22/19",NA,NA,NA,"7/29/19",1,0,"2174.76",80,4,84,"8/5/19",75,NA,NA,NA,NA,NA,84,"7/19/19",1,3,"h_un_sh",10:03:00,"7/20/19",1,4,"h_un_sh",15:22:00,"7/21/19",1,4,"m_un_sh",10:41:00,"7/22/19",1,5,"m_un_sh",16:08:00,"7/23/19",1,5,"h_un_sh","10:35","7/24/19",1,5,"h_un_su",14:52:00,"7/25/19",1,5,"m_up_su",15:53:00,"7/26/19","1",5,"h_un_sh",14:50:00,"7/27/19",1,5,"h_un_sh",09:38:00,"7/28/19",1,5,"m_un_sh",15:00:00,"7/29/19",1,"em","m_un_sh",11:12:00,NA,1,"em",NA,14:18:00,NA,NA,NA,NA,NA,"7/31/19",1,"rc",NA,08:34:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"80 cocoons counted, 75 open. Found 73 wasps (43 female, 30 male). female mass: 10.2. Male mass: 5.13",NA,0,191,192,198,198,199,NA,201,203,NA,NA,210,217,200,201,202,203,204,205,206,207,208,209,210,NA,NA,212,NA,NA,13.45,NA,10.05,15.3666666666667,10.6833333333333,16.1333333333333,10.5833333333333,14.8666666666667,15.8833333333333,14.8333333333333,9.63333333333333,15,11.2,14.3,NA,8.56666666666667,NA,NA,6,NA,18,12,NA,NA,NA,1,0.892857142857143,0.892857142857143,NA,NA,NA,NA,0
"E3_2_p_con","yellow","E3","plot1",NA,"p","con","7/10/19","rm","7/11/19","7/17/19",15.12,"7/17/19",13:27:00,2,"7/18/19","am","7/29/19","s","7/21/19","7/24/19",NA,"8/2/19",3927.66,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,0,"7/19/19",1,3,"h_un_sh",10:05:00,"7/20/19",1,3,"m_ed_sh",15:22:00,"7/21/19",1,4,"m_un_sh",10:43:00,"7/22/19",1,4,"h_un_sh",16:09:00,"7/23/19",1,4,"m_un_sh","10:37","7/24/19",1,5,"h_un_sh",14:50:00,"7/25/19",1,5,"m_un_sh",15:58:00,"7/26/19","1",5,"m_un_sh",14:48:00,"7/27/19",1,5,"m_un_sh",09:38:00,"7/28/19",0,NA,NA,NA,"7/29/19",1,"5","m_un_sh",11:14:00,"7/30/19",0,NA,NA,14:21:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"might not have been an experimental bug. frozen at wandering to determine if parasitized. massed 1 day after start of wandering",NA,0,191,192,198,198,199,210,202,205,NA,214,NA,NA,200,201,202,203,204,205,206,207,208,209,210,211,NA,NA,NA,NA,13.45,NA,10.0833333333333,15.3666666666667,10.7166666666667,16.15,10.6166666666667,14.8333333333333,15.9666666666667,14.8,9.63333333333333,NA,11.2333333333333,14.35,NA,NA,NA,NA,6,22,NA,NA,11,4,NA,NA,NA,NA,NA,NA,NA,NA,0
"A1_2_p_hs","purple","A1","plot1",NA,"p","hs","7/10/19","rm","7/12/19","7/17/19",36.85,"7/17/19",13:51:00,1,"7/18/19","am","7/29/19","s","7/20/19","7/24/19",NA,NA,NA,"7/30/19",0,1,"3912.19",62,29,91,"8/4/19",57,19,38,8.26,12.9,NA,91,"7/19/19",1,3,"h_un_su",10:06:00,"7/20/19",1,4,"m_un_sh",17:45:00,"7/21/19",1,4,"h_un_su",10:48:00,"7/22/19",1,4,"h_up_su",15:15:00,"7/23/19",1,4,"h_up_sh","9:42","7/24/19",1,5,"h_un_sh",14:33:00,"7/25/19",1,5,"h_un_sh",15:55:00,"7/26/19","1",5,"m_un_sh",15:45:00,"7/27/19",1,5,"m_un_sh",10:29:00,"7/28/19",1,5,"h_un_sh",14:26:00,"7/29/19",1,"5","m_un_sh",09:37:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,191,193,198,198,199,210,201,205,NA,NA,211,216,200,201,202,203,204,205,206,207,208,209,210,NA,NA,NA,NA,NA,13.85,NA,10.1,17.75,10.8,15.25,9.7,14.55,15.9166666666667,15.75,10.4833333333333,14.4333333333333,9.61666666666667,NA,NA,NA,NA,NA,5,NA,18,13,11,NA,1,1,0.626373626373626,0.626373626373626,0.333333333333333,0.666666666666667,0.434736842105263,0.339473684210526,0
"B3_1_p_hs","red","B3","plot1",NA,"p","hs","7/10/19","rm","7/12/19","7/17/19",35.85,"7/17/19",13:48:00,1,"7/18/19","am","7/29/19","s","7/20/19","7/24/19",NA,NA,NA,"7/29/19",0,1,"1864.32",35,5,40,"8/4/19",34,12,22,3.17,4.41,NA,40,"7/19/19",1,3,"h_un_sh",10:13:00,"7/20/19",1,4,"h_un_sh",17:34:00,"7/21/19",1,4,"h_un_sh",11:00:00,"7/22/19",1,4,"m_un_sh",15:09:00,"7/23/19",1,4,"m_un_sh","9:52","7/24/19",1,5,"m_un_sh",14:38:00,"7/25/19",1,5,"h_un_sh",15:46:00,"7/26/19","1",5,"h_un_sh",15:42:00,"7/27/19",1,5,"h_un_sh",10:25:00,"7/28/19",1,5,"m_un_sh",14:29:00,"7/29/19",1,"5","m_un_sh",09:49:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,191,193,198,198,199,210,201,205,NA,NA,210,216,200,201,202,203,204,205,206,207,208,209,210,NA,NA,NA,NA,NA,13.8,NA,10.2166666666667,17.5666666666667,11,15.15,9.86666666666667,14.6333333333333,15.7666666666667,15.7,10.4166666666667,14.4833333333333,9.81666666666667,NA,NA,NA,NA,NA,5,NA,17,12,11,NA,0,1,0.85,0.85,0.352941176470588,0.647058823529412,0.264166666666667,0.200454545454545,0
