"TOA5","CR3000 Bert","CR3000","1972","CR3000.Std.06","CPU:MF2019.AM25T.CR3","46546","Temp"
"TIMESTAMP","RECORD","Batt_Volt_Avg","SlrW_Avg","SlrkJ_Tot","Reference_Avg","Temp_C_Avg(1)","Temp_C_Avg(2)","Temp_C_Avg(3)","Temp_C_Avg(4)","Temp_C_Avg(5)","Temp_C_Avg(6)","Temp_C_Avg(7)","Temp_C_Avg(8)","Temp_C_Avg(9)","Temp_C_Avg(10)","Temp_C_Avg(11)","Temp_C_Avg(12)","Temp_C_Avg(13)","Temp_C_Avg(14)","Temp_C_Avg(15)","Temp_C_Avg(16)","Temp_C_Avg(17)","Temp_C_Avg(18)","Temp_C_Avg(19)","Temp_C_Avg(20)","Temp_C_Avg(21)","Temp_C_Avg(22)","Temp_C_Avg(23)","Temp_C_Avg(24)","Temp_C_Avg(25)"
"TS","RN","Volts","W/m²","kJ/m²","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C"
"","","Avg","Avg","Tot","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg"
"2000-02-11 23:50:00",0,12.93,"NAN","NAN",41.57,33.2,34.5,37.24,34.67,37.23,34.32,33.16,35.81,33.37,33.87,33.66,36.02,34.64,33.43,35.79,35.37,32.68,36.3,35.5,34.09,"NAN","NAN","NAN","NAN","NAN"
"2019-07-19 13:30:00",1,12.93,"NAN","NAN",42.52,34.92,36.87,40.1,36.84,39.8,36.18,35,37.18,35.2,36.62,36.41,37.66,36.35,35.4,37.21,37.35,35.24,40.01,38.38,36.12,"NAN","NAN","NAN","NAN","NAN"
"2019-07-19 13:40:00",2,12.93,"NAN","NAN",42.72,35.07,37.11,40.27,37.83,39.93,36.2,35.43,36.8,35.86,37.28,37.53,37.82,36.62,36.33,37.51,37.33,35.87,40.71,38.53,36.25,"NAN","NAN","NAN","NAN","NAN"
"2019-07-19 13:50:00",3,12.93,"NAN","NAN",42.4,32.79,35.42,33.35,31.44,33.45,34.62,33.93,34.74,33.66,32.21,33.35,35.44,35.16,33.82,32.55,35.6,34.74,37.6,36.29,35.04,"NAN","NAN","NAN","NAN","NAN"
"2019-07-19 14:00:00",4,12.93,"NAN","NAN",40.69,30.71,31.81,30.73,29.28,30.68,30.56,30.4,30.89,31.93,29.59,30.95,29.99,32.08,31.27,30.97,31.34,33.08,34.11,32.32,32.34,"NAN","NAN","NAN","NAN","NAN"
"2019-07-19 14:10:00",5,12.94,"NAN","NAN",38.86,31.7,34.48,32.61,30.39,32.68,32.68,30.83,31.76,33.4,30.9,32.65,31.31,33.3,32.75,32.92,33.59,34.4,36.61,33.48,34.15,"NAN","NAN","NAN","NAN","NAN"
"2019-07-19 14:20:00",6,12.95,"NAN","NAN",37.47,31.45,33.58,32.04,29.81,33.16,32.39,30.06,31.79,33.49,31.01,32.24,31.22,32.98,32.65,33.03,33.2,34.03,36.23,33.04,33.35,"NAN","NAN","NAN","NAN","NAN"
"2019-07-19 14:30:00",7,12.96,"NAN","NAN",36.17,30.35,31.04,30.33,28.76,31.46,31.04,29.27,30.92,32.44,29.79,31,29.89,31.88,31.31,31.8,31.49,32.56,34.17,31.42,32.19,"NAN","NAN","NAN","NAN","NAN"
"2019-07-19 14:40:00",8,12.97,"NAN","NAN",35.02,31.41,33.92,31.56,29.19,33.49,32.4,30.48,32.14,33.22,31.26,31.96,31.44,33,31.61,33.19,33.87,34.16,35.64,33.33,33.41,"NAN","NAN","NAN","NAN","NAN"
"2019-07-19 14:50:00",9,12.98,"NAN","NAN",34.4,31.72,35.48,32.29,30.03,35.42,33.72,31.32,33.58,34.03,31.99,33.12,32.58,33.92,32.25,34.63,35.28,34.64,37.04,33.77,34.12,"NAN","NAN","NAN","NAN","NAN"
"2019-07-19 15:00:00",10,12.98,"NAN","NAN",34.4,32.08,35.38,32.83,31.1,36.05,34.05,31.86,33.93,33.69,33.06,33.26,33.57,33.54,32.31,34.33,34.56,33.83,36.61,33.5,33.54,"NAN","NAN","NAN","NAN","NAN"
"2019-07-19 15:10:00",11,12.98,"NAN","NAN",34.94,33.44,36.63,34.89,33.58,37.89,35.51,33.79,35.2,34.78,35.57,34.82,36.31,34.49,33.34,36.24,36.15,34.89,38.16,34.99,34.57,"NAN","NAN","NAN","NAN","NAN"
"2019-07-19 15:20:00",12,12.98,"NAN","NAN",35.95,34.51,37.53,36.69,34.6,39.13,36.2,34.47,36.12,35.94,36.54,36.7,38.17,35.49,34.84,37.87,36.78,35.45,39.35,35.64,34.83,"NAN","NAN","NAN","NAN","NAN"
"2019-07-19 15:30:00",13,12.97,"NAN","NAN",36.91,33.47,35.86,35.56,33.64,36.89,34.66,33.56,34.84,34.58,34.85,35.22,36.4,34.64,33.87,36.28,34.95,34.33,37.09,34.58,33.99,"NAN","NAN","NAN","NAN","NAN"
